cliente_id,probabilidades_de_no_pago
1004369760,0.04
1004369760,0.04
1004371304,0.01
1004382867,0.98
1004382867,0.98
1004382867,0.98
1004490958,0.0
1004490958,0.0
1004686283,0.67
1004734657,0.01
1004734657,0.01
1004734657,0.01
1004735379,0.0
1004775655,0.0
1004944928,0.0
1004965115,1.0
1004965115,1.0
1004965115,1.0
1005083365,0.77
10050964,0.0
10051418,0.0
1005148919,0.0
1005148919,0.0
1012393236,1.0
1012393236,1.0
1012393236,1.0
1012395474,0.02
1012411411,0.03
1012411411,0.03
1012411411,0.03
1012421439,0.520623570873571
1012421439,0.520623570873571
1012421439,0.520623570873571
1012422178,0.02
1012422178,0.02
1012422178,0.02
1012424514,0.99
1012424514,0.99
1012430530,0.17715159079826256
1012430530,0.17715159079826256
1012441991,0.0
1012441991,0.0
1012441991,0.0
1012443495,0.12
1012443495,0.12
1012446111,0.06
1012446111,0.06
1012450904,0.05
1017173647,0.4785776445776447
1017173647,0.4785776445776447
1017173647,0.4785776445776447
1017174068,0.0
1017174068,0.0
1017174170,0.0
1017174650,0.0
1017174827,0.0
1017175010,0.0
1017175010,0.0
1017175010,0.0
1017175959,0.0
1017176149,0.03
1017176149,0.03
1017176149,0.03
1017177070,0.0
1017177070,0.0
1017178567,0.0
1017179169,0.0
1017179169,0.0
1017179556,0.0
1017180041,0.01
1017181606,0.01
1017181606,0.01
1017182342,0.045
1017183210,0.01
1017183418,0.0
1017187419,0.028333333333333335
1017187419,0.028333333333333335
1017187419,0.028333333333333335
1017188310,0.01
1017188943,0.0
1017188943,0.0
1017189640,0.025
1017190890,0.0
1017191407,0.07
1017193427,0.0
1017193738,0.96
1017193738,0.96
1017193738,0.96
1017194490,0.12
1017194490,0.12
1017195245,0.04
1017195631,0.0
1017195631,0.0
1017195631,0.0
1017195802,0.98
1017195802,0.98
1017195802,0.98
1017195803,0.96
1017195803,0.96
1017195803,0.96
1017195804,0.01
1017195804,0.01
1017195804,0.01
1017197277,0.0
1017197277,0.0
1017197277,0.0
1017197816,0.01
1017197816,0.01
1020402914,0.02
1020403661,0.0
1020405267,0.0
1020405267,0.0
1020405726,0.0
1020406242,0.0
1020406612,0.0
1020408715,0.02
1020409590,0.01
1020409590,0.01
1020410828,0.0
1020412462,0.02
1020412820,0.02
1020412829,0.047634136387170296
1020413282,0.02
1020413947,0.07
1020415248,0.03166666666666666
1020415248,0.03166666666666666
1020416469,0.0
1020416469,0.0
1020416469,0.0
1020416618,0.02
1020417381,0.21
1020419036,0.01
1020419036,0.01
1020419809,0.0
1020420228,0.0
1020420228,0.0
1020421967,0.0
1020421967,0.0
1020422223,0.01
1020422223,0.01
1020423145,0.01
1020423810,0.005
1020423810,0.005
1020423882,0.0
1020423974,0.0
1020423974,0.0
1020425203,0.04
1020427649,0.02
1020429863,0.01
1020431743,0.04
1020433293,0.0
1020437362,0.0
1020438530,0.0
1020438763,0.05
1020438763,0.05
1020438763,0.05
1023833247,0.0
1023862519,0.8238809523809523
1023867452,0.1
1023872469,0.0
1023872469,0.0
1023889769,0.0
1023889769,0.0
1023889769,0.0
1023900511,0.0
1023900511,0.0
1023900511,0.0
1023917844,0.02
1023917844,0.02
1023920042,0.02
1023920042,0.02
10239369,0.0
10239369,0.0
10239369,0.0
1023946559,0.0
1023946559,0.0
1023946559,0.0
10242437,0.0
10242819,0.0
1024495260,0.9725
1024495260,0.9725
1024495260,0.9725
1024496046,0.01
1024499492,0.93
1024499492,0.93
1024501932,0.71
1024507715,0.02
1030631292,0.6695
1030631804,0.69
1030633077,0.2817142857142858
1030635516,0.0
1030635516,0.0
1030636994,0.93
1030636994,0.93
1030636994,0.93
1030637803,0.01
1030638406,0.0
1030638406,0.0
1030638406,0.0
1030647135,0.04
1030647135,0.04
1030647135,0.04
1030647254,0.01
1030647254,0.01
1030647254,0.01
1030648207,0.76
1030655650,0.0
1030655650,0.0
1030655650,0.0
1030663733,0.0
1030666794,0.94
1030666794,0.94
1030666794,0.94
1030673253,0.0
1030678318,0.05
1030678318,0.05
1030685986,0.0
1030685986,0.0
1035910088,0.02
1035910837,0.01
1035912075,0.013333333333333332
1035912075,0.013333333333333332
1035913344,0.0
1035913443,0.02
1035913693,0.0
1035914545,0.06
1035914545,0.06
1035914545,0.06
1035916390,0.0
1035916390,0.0
1035918106,0.0
1035918106,0.0
1035918202,0.0
1035920339,0.0
1035920339,0.0
1035920339,0.01
1036132946,0.0
1036132946,0.0
1036134461,0.0
1036134645,0.0
1036134664,0.0
1036220211,0.0
1036220211,0.0
1036221891,0.0725
1036221891,0.0725
1036223198,0.0
1036223379,0.99
1036223968,0.0
1036223968,0.0
1036223968,0.0
1036225454,0.047634136387170296
1036337262,0.0
1036338351,0.0
1036338745,0.0
1036338745,0.0
1036338745,0.0
1036393290,0.01
1036393290,0.01
1036393290,0.01
1036394458,0.0
1036395000,0.0
1036395221,0.0
1036396136,0.02
1036396420,0.0
1036396420,0.0
1036397086,0.0
1036399073,0.0
1036399073,0.0
1036399261,0.015
1037584276,0.03
1037585837,0.03
1037585837,0.03
1037586848,0.0
1037586848,0.0
1037587384,0.0
1037587384,0.0
1037587384,0.0
1037587905,0.40449999999999997
1037587905,0.40449999999999997
1037587976,0.01
1037588204,0.02
1037588204,0.02
1037588204,0.02
1037588402,0.01
1037588402,0.01
1037589181,0.08
1037589181,0.01
1037589181,0.01
1037589181,0.021
1037589181,0.040999999999999995
1037589181,0.021
1037589507,0.02
1037589586,0.0
1037589586,0.0
1037589808,0.0
1037589808,0.0
1037589808,0.0
1037590223,0.01
1037590515,0.04
1037590521,0.05
1037590614,0.38783333333333336
1037592019,0.0
1037592736,0.0
1037592736,0.0
1037592736,0.0
1037593434,0.0
1037594127,0.49857142857142855
1037594127,0.49857142857142855
1037594775,0.01
1037595112,0.01
1037595584,0.0
1037595584,0.0
1037595584,0.0
1037596496,0.0
1037596496,0.0
1003337623,0.02428571428571429
1003391913,0.01
1003391913,0.01
1003391913,0.01
1003393553,0.0
1003393553,0.0
1003394781,0.0
1003394781,0.0
1003394781,0.0
1003501242,1.0
1003501242,1.0
1003501242,1.0
1003588218,0.01
1003588218,0.01
1003716455,0.0
1003716455,0.0
1003716455,0.0
1003734305,0.0
1003734305,0.0
1003736722,0.0
1003736722,0.0
1003850980,0.25704365079365077
1010234990,0.7600000000000001
10104021,1.0
10104021,1.0
10104021,1.0
10105367,0.0
10106280,0.0
10108509,0.68
10108602,0.0
10111248,0.99
10111248,0.99
10111248,0.99
10111417,0.0
10113821,0.0
10113821,0.0
10117591,0.0
10117591,0.0
10117754,0.0
10118349,0.0
10118816,0.0
10118816,0.0
10118917,0.0
10118938,0.02
10118938,0.02
10119125,0.0
10121922,0.0
10122677,0.0
1012318591,0.0
1012318591,0.0
1012318591,0.0
1012320064,0.0
1012323187,0.0
1012344734,0.01
1012344734,0.01
1012345596,0.06
1012345596,0.06
1012345596,0.06
1012346054,0.01
1012373025,0.6693202104912632
1012373025,0.6693202104912632
1012373025,0.6693202104912632
1012381828,0.03
1012381828,0.03
1012381828,0.03
1012386792,0.02
1012386792,0.02
1012387781,0.4417857142857142
1012387781,0.4417857142857142
1017143496,0.02
1017143718,0.0
1017143718,0.0
1017143718,0.0
1017144377,0.0
1017145595,0.0
1017145595,0.0
1017145981,0.0
1017146518,0.03
1017146518,0.03
1017147400,0.0
1017147621,0.0
1017147621,0.0
1017147621,0.0
1017148578,0.07
1017148578,0.07
1017148578,0.07
1017149088,0.02
1017149707,0.0
1017150702,0.0
1017150702,0.0
1017150866,0.02
1017151233,0.0
1017151233,0.0
1017151233,0.0
1017151238,0.028095238095238093
1017151506,0.0
1017152244,0.0
1017153083,0.0
1017154020,0.0
1017154020,0.0
1017154120,0.015
1017154120,0.015
1017154120,0.015
1017154466,0.0
1017155075,0.005
1017155211,0.9
1017155211,0.9
1017155211,0.9
1017157109,0.0
1017158128,0.92
1017158128,0.92
1017158682,0.0
1017158862,0.8975
1017158862,0.8975
1017158862,0.2527579365079365
1017160221,0.01
1017160618,0.045
1017160618,0.045
1017160801,0.0
1017160801,0.0
1017160903,0.0
1017161804,0.01
1017161804,0.01
1017162411,1.0
1017162411,1.0
1017162411,1.0
1017162411,1.0
1017162411,1.0
1017162411,1.0
1017163827,0.02
1017163827,0.02
1017165204,0.0
1017165204,0.0
1017165474,0.0
1017167527,0.0
1017167527,0.0
1017170500,0.05
1017170500,0.05
1017172812,0.14
1017172812,0.14
1019120738,0.01
1019120738,0.01
1019120738,0.01
1019121512,0.6811295371295374
1019121512,0.6811295371295374
1019121512,0.6811295371295374
1019129607,0.04
1019129607,0.04
1019129607,0.04
1019131757,0.038
1019131757,0.038
1019131757,0.038
10196313,0.0
10196313,0.0
10196313,0.0
10198549,0.0
1020105869,0.01
1020105869,0.01
1020394693,0.0
1020396101,0.05266666666666667
1020396406,0.33730140692640687
1020396406,0.33730140692640687
1020396406,0.33730140692640687
1020397728,0.0
1020398410,0.05
1020398702,0.4965437824559342
1020398702,0.4965437824559342
1020398702,0.4965437824559342
1020398762,0.0
1020399536,0.0
1020399763,0.93
1020399763,0.93
1020399763,0.93
1020400376,0.6250476190476191
1020400376,0.6250476190476191
1020400376,0.6250476190476191
1020400847,0.02
1020402459,0.05
1020402914,0.02
1020402914,0.02
1022440042,0.0
1022440042,0.0
1022440042,0.0
10225520,0.01
10226593,0.0
10228975,0.0
1022929389,0.01
1022933868,0.01
1022977337,0.0
1022977748,0.0
1022981031,0.94
1022981031,0.94
1022984909,0.0
1022984909,0.0
1022984909,0.0
1022998087,0.02
1022998087,0.02
1022998087,0.02
1023010131,0.0
10230583,0.0
10230583,0.0
10230583,0.0
10230693,0.01
10230853,0.03
10230853,0.03
10231212,0.0
10233327,0.0
10233327,0.0
10233327,0.0
10233451,0.0
10234506,0.0
10234506,0.0
10234650,0.0
10236361,0.0
10236361,0.0
10236361,0.0
10236590,0.0
1023722882,0.0
1023724652,0.02
1023724652,0.02
1023748425,0.01
1023750213,0.0
1023750213,0.19
1023750466,0.0
1023750466,0.0
10237901,0.17
1023831017,0.02
1030559913,0.02
1030561480,0.0
1030566630,0.01
1030566630,0.01
1030566630,0.01
1030567443,0.88
1030567443,0.88
1030576447,0.01
1030576447,0.01
1030583948,0.0
1030584888,0.98
1030584888,0.98
1030584888,0.98
1030590876,0.12
1030591300,0.0
1030591300,0.0
1030604593,0.36216666666666664
1030606451,0.0
1030606451,0.0
1030606451,0.0
1030607992,0.0
1030608053,0.9104761904761905
1030608053,0.9104761904761905
1030611008,0.01
1030611008,0.01
1030614569,0.6
1030617353,0.03
1030618478,0.86
1030618478,0.67
1030618478,0.86
1030624641,0.0075
1030624641,0.0075
1030625332,0.02
1035853547,0.0
1035853581,0.0
1035853739,0.65
1035854927,0.19
1035855060,0.0
1035855312,0.0
1035855312,0.0
1035857057,0.01
1035858901,0.0
1035858901,0.0
1035858901,0.0
1035861160,0.0
1035861160,0.0
1035863029,0.87
1035863029,0.87
1035863275,0.0
1035863275,0.0
1035863275,0.0
1035863286,0.97
1035863286,0.97
1035863286,0.97
1035863919,0.01
1035863919,0.01
1035863919,0.01
1035865554,0.0
1035865554,0.0
1035865691,0.0
1035867570,0.01
1035869218,0.11
1035869232,0.01
1035869232,0.01
1035869294,0.01
1035869294,0.01
1035869515,0.005
1035869897,0.01
1035870475,0.006666666666666666
1035872969,0.0
1035873073,0.0175
1035873875,0.05
1035873875,0.05
1035873875,0.05
1035874105,0.0
1035874105,0.0
1035874105,0.0
1035874198,0.0
1035874198,0.0
1035874580,1.0
1035874580,1.0
1035874580,0.97
1035875656,0.09
1035875656,0.09
1035876686,0.06
1035876686,0.06
1035876686,0.06
1035877286,0.03
1035877286,0.03
1035878571,0.89
1035878571,0.89
1035878942,0.01
1037483632,0.97
1037483632,0.97
1037499538,0.0
1037503549,0.0
1037524045,0.0
1037546818,0.0
1037546818,0.0
1037547516,0.11
1037548096,0.0
1037571006,0.065
1037571006,0.065
1037571505,0.6028571428571429
1037573806,0.0
1037573894,0.0
1037573894,0.0
1037573894,0.0
1037574113,0.94
1037574113,0.94
1037574113,0.94
1037574338,0.0
1037574338,0.0
1037574967,0.01
1037575243,0.01
1037575483,0.97
1037575483,0.97
1037575483,0.97
1037576553,0.0
1037577302,0.02
1037577882,0.64
1037579025,0.03
1037579025,0.01
1037579025,0.01
1037579149,0.01
1037579859,0.0
1037579859,0.0
1037579859,0.0
1037583083,0.12
1002919812,0.015
1002919812,0.015
1002949365,0.05932001941798777
1002949365,0.05932001941798777
1003027033,1.0
1003027033,1.0
1003045935,0.0
